Nombre,Rating,Dirección,Teléfono,Data ID
PIPES,4.7,"9 avenida, Contenedores negros, establecimiento frente a helados sarita, entre 29 y 30 Calle, 20102 San Pedro Sula, Cortés, Honduras",+504 9537-1846,0x8f665b587ebc8ec5:0x57faa40b94fb176
La Pikalita • Plaza Verde Los Andes,4.5,"9 Calle NO, 21102 San Pedro Sula, Cortés, Honduras",+504 9724-7072,0x8f665b44bff2eb59:0x32669dde6901b0dc
La Pikalita • Tara,4.4,"21102, San Pedro Sula, Honduras",+504 9768-5515,0x8f665ad3ef2daaa5:0xa278c11d438612d4
Frites • Jardines del Valle,4.4,"3 Calle, 21102 San Pedro Sula, Cortés, Honduras",+504 2516-8143,0x8f665b23e8a8732b:0xc85f5e9b82ca2e81
Wings La 10,4.6,"10 Calle 4ta av, 21103 San Pedro Sula, Cortés, Honduras",+504 8775-9865,0x8f66432e0e5c4b41:0xec4c91617871b70f
Mr. Wings Hn,5,"en Food Park City, 8Ave Blvr. Unah- Vs, 21102 San Pedro Sula, Cortés, Honduras",+504 8832-2176,0x8f665b8f476d21c3:0x73ac33d79c337206
Rokoburger • Jardines Eco Plaza,4,"Jardines Eco Plaza, 11101 San Pedro Sula, Cortés, Honduras",+504 9437-2199,0x8f665be7da5932cd:0x8af284bd29566eeb
Wingers • Plaza Las Palmas,4,"9 Av. SE, 21103 San Pedro Sula, Cortés, Honduras",,0x8f665dd4fb3f8e23:0xa34797e0b183efd2
Wings & Buckets Cafe,4.3,"12 Avenida NO, 21102 San Pedro Sula, Cortés, Honduras",,0x8f665bf13ca29d99:0x2bd8cea597977ec8
Wing y Más,4.8,"F2R4+9HV, 21103 San Pedro Sula, Cortés, Honduras",+504 9530-6176,0x8f66436b8ac37f09:0x3056d1ce1c374d91
Maria's Wings & hamburguers To Go,3,"G2W2+R5X, 21101 San Pedro Sula, Cortés, Honduras",+504 3310-4772,0x8f6645f6aba49c63:0xc2f8e4c6e9022012
Alitas Hamburguesas & Más,3,"21101, San Pedro Sula, Cortés, Honduras",+504 3171-4733,0x8f66454efc951c7d:0x1c140ea83ce5baf6
Parrilladas El Bunker,4.3,"GXHC+XQ2, 21102 San Pedro Sula, Cortés, Honduras",+504 8789-3977,0x8f665b2309e1a8d3:0xd80626a3b7f43d8d
Lúpulos Craft Beer,4.7,"21102 San Pedro Sula, Cortés, Honduras",,0x8f665bdb2c68fb6f:0x2c8769f7e79d5fef
Roosters,4.8,"13 calle, entre 6 y 7 Avenida SE, 21103 San Pedro Sula, Cortés, Honduras",+504 9570-0516,0x8f665bcf7dd13745:0xc77c96dcbdfce310
Matambritas,4.3,"Bulevar del Nte., 21102 San Pedro Sula, Cortés, Honduras",+504 9527-5791,0x8f665b225c17ec35:0xea69a3bfce970e
H.G Wings,,"21103 San Pedro Sula, Cortés, Honduras",+504 9941-2737,0x8f6643b0486d4879:0xdc8e55480e4628ea
Shelly’s Bar,4.6,"cuadra y media de estelinas, Parque Benito Juarez, Colonia Los Andes, 10 calle, 10 y 11 avenida A, 21101 San Pedro Sula, Cortés, Honduras",+504 8974-8155,0x8f665d1a475ade2d:0xefa6e55b631d2cb4
Jalapeños • Mega Mall,4.5,"GX3W+33M, Blvr. del Este, 21101 San Pedro Sula, Cortés, Honduras",,0x8f66459e3ab84ffd:0x1b63e50dee9a8048
Wings & Burger,4.5,"frente al, 21102 San Pedro Sula, Cortés, Honduras",+504 8868-7062,0x8f6645775071d0fd:0xea293c1f94b10bd
